n;sum_iter_ms;sum_rec_ms;min_iter_ms;min_rec_ms;max_iter_ms;max_rec_ms
20000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
40000;0.000000;-1.000000;0.000000;-1.000000;0.000000;-1.000000
60000;0.000000;-1.000000;0.000000;-1.000000;0.000000;-1.000000
80000;0.000000;-1.000000;0.000000;-1.000000;0.000000;-1.000000
100000;0.000000;-1.000000;0.000000;-1.000000;0.000000;-1.000000
120000;0.000000;-1.000000;0.000000;-1.000000;0.000000;-1.000000
140000;0.000000;-1.000000;0.000000;-1.000000;0.000000;-1.000000
160000;0.000000;-1.000000;0.000000;-1.000000;0.000000;-1.000000
180000;0.000000;-1.000000;0.000000;-1.000000;0.000000;-1.000000
200000;0.000000;-1.000000;0.000000;-1.000000;0.000000;-1.000000
