trial;present;key;iter_ns;rec_ns;iter_found;rec_found
0;0;997.2734500000;500;100;0;0
1;0;3798.6804500000;100;100;0;0
2;1;9013.5340000000;300;100;1;1
3;1;2142.3280000000;300;100;1;1
4;1;14529.3080000002;400;200;1;1
5;0;8223.2154500000;400;100;0;0
6;0;6299.9584500000;100;100;0;0
7;1;2956.5460000000;100;100;1;1
8;1;11312.0440000001;400;100;1;1
9;0;16183.2564500002;200;100;0;0
10;0;1506.7244500000;100;100;0;0
11;1;11235.1800000001;200;100;1;1
12;0;15336.3084500002;200;100;0;0
13;0;2021.9484500000;100;0;0;0
14;0;10776.4344500001;300;100;0;0
15;0;6437.0064500000;100;100;0;0
16;1;2761.5950000000;100;100;1;1
17;0;1262.6474500000;200;100;0;0
18;1;3118.6290000000;100;100;1;1
19;1;2957.7400000000;100;100;1;1
20;0;5335.2254500000;200;100;0;0
21;1;1125.4220000000;200;100;1;1
22;0;4944.1494500000;200;100;0;0
23;0;14380.5984500002;200;100;0;0
24;1;4632.9150000000;100;100;1;1
25;1;12006.7940000001;400;100;1;1
26;0;11370.2674500001;100;100;0;0
27;0;4129.7824500000;100;100;0;0
28;1;6853.3480000000;100;100;1;1
29;0;10833.4674500001;200;100;0;0
30;1;13196.0970000002;300;100;1;1
31;0;974.1534500000;100;100;0;0
32;0;6133.6044500000;100;100;0;0
33;1;410.0840000000;200;100;1;1
34;1;10393.9540000001;200;100;1;1
35;1;4175.3010000000;100;100;1;1
36;1;15045.7920000002;300;100;1;1
37;1;5624.2360000000;100;100;1;1
38;0;10691.0184500001;100;100;0;0
39;0;5852.4174500000;100;100;0;0
40;0;15214.8844500002;100;100;0;0
41;0;6780.9644500000;200;100;0;0
42;1;14048.9970000002;100;0;1;1
43;0;14194.1634500002;100;100;0;0
44;0;8363.9354500000;200;100;0;0
45;0;4679.2384500000;100;100;0;0
46;1;15604.5620000002;100;100;1;1
47;0;14174.7464500002;100;100;0;0
48;0;3696.0784500000;0;100;0;0
49;0;7149.7844500000;100;200;0;0
50;1;10645.2700000001;300;100;1;1
51;0;11857.0914500001;100;100;0;0
52;0;7616.8734500000;100;100;0;0
53;0;424.7724500000;200;100;0;0
54;1;1351.4410000000;0;0;1;1
55;1;15152.3430000002;100;100;1;1
56;1;15314.8590000002;100;100;1;1
57;1;4672.7970000000;100;100;1;1
58;0;5876.2464500000;100;200;0;0
59;0;692.3244500000;100;100;0;0
60;1;4520.2440000000;100;100;1;1
61;0;1219.1164500000;100;100;0;0
62;0;4341.8504500000;100;100;0;0
63;1;12742.0730000002;300;100;1;1
64;1;12847.8280000002;100;100;1;1
65;0;7581.1794500000;100;200;0;0
