n;mono_iter_ns;mono_rec_ns;bs_iter_avg_ns;bs_rec_avg_ns;bs_iter_max_ns;bs_rec_max_ns
20000;6900;70900;91.750;21.800;800;100
40000;13500;120000;86.100;20.950;200;100
60000;20700;192700;88.700;21.050;200;100
80000;27400;247700;88.450;21.000;200;100
100000;35400;322300;88.600;20.800;200;100
120000;43500;382700;100.150;20.700;14300;100
140000;50100;463500;90.150;20.700;200;100
160000;59100;495500;90.750;19.800;200;100
180000;81500;596000;93.000;20.350;200;100
200000;71900;646900;95.450;20.350;6200;100
