trial;present;iter_ms;rec_ms;iter_found;rec_found
0;0;0.000000;0.000000;0;0
1;1;0.000000;0.000000;1;1
2;0;0.000000;0.000000;0;0
3;0;0.000000;0.000000;0;0
4;1;0.000000;0.000000;1;1
5;0;0.000000;0.000000;0;0
6;0;0.000000;0.000000;0;0
7;1;0.000000;0.000000;1;1
8;0;0.000000;0.000000;0;0
9;0;0.000000;0.000000;0;0
10;1;0.000000;0.000000;1;1
11;0;0.000000;0.000000;0;0
12;0;0.000000;0.000000;0;0
13;1;0.000000;0.000000;1;1
14;1;0.000000;0.000000;1;1
15;1;0.000000;0.000000;1;1
16;1;0.000000;0.000000;1;1
17;0;0.000000;0.000000;0;0
18;1;0.000000;0.000000;1;1
19;0;0.000000;0.000000;0;0
20;0;0.000000;0.000000;0;0
21;0;0.000000;0.000000;0;0
22;1;0.000000;0.000000;1;1
23;1;0.000000;0.000000;1;1
24;1;0.000000;0.000000;1;1
25;0;0.000000;0.000000;0;0
26;1;0.000000;0.000000;1;1
27;0;0.000000;0.000000;0;0
28;0;0.000000;0.000000;0;0
29;0;0.000000;0.000000;0;0
30;0;0.000000;0.000000;0;0
31;0;0.000000;0.000000;0;0
32;1;0.000000;0.000000;1;1
33;1;0.000000;0.000000;1;1
34;0;0.000000;0.000000;0;0
35;0;0.000000;0.000000;0;0
36;0;0.000000;0.000000;0;0
37;1;0.000000;0.000000;1;1
38;0;0.000000;0.000000;0;0
39;1;0.000000;0.000000;1;1
40;1;0.000000;0.000000;1;1
41;1;0.000000;0.000000;1;1
42;1;0.000000;0.000000;1;1
43;1;0.000000;0.000000;1;1
44;1;0.000000;0.000000;1;1
45;0;0.000000;0.000000;0;0
46;1;0.000000;0.000000;1;1
47;0;0.000000;0.000000;0;0
48;1;0.000000;0.000000;1;1
49;0;0.000000;0.000000;0;0
50;1;0.000000;0.000000;1;1
51;1;0.000000;0.000000;1;1
52;0;0.000000;0.000000;0;0
53;0;0.000000;0.000000;0;0
54;1;0.000000;0.000000;1;1
55;0;0.000000;0.000000;0;0
56;0;0.000000;0.000000;0;0
57;1;0.000000;0.000000;1;1
58;1;0.000000;0.000000;1;1
59;1;0.000000;0.000000;1;1
60;0;0.000000;0.000000;0;0
61;1;0.000000;0.000000;1;1
62;0;0.000000;0.000000;0;0
63;1;0.000000;0.000000;1;1
64;0;0.000000;0.000000;0;0
65;0;0.000000;0.000000;0;0
66;0;0.000000;0.000000;0;0
67;0;0.000000;0.000000;0;0
68;1;0.000000;0.000000;1;1
69;0;0.000000;0.000000;0;0
70;0;0.000000;0.000000;0;0
71;1;0.000000;0.000000;1;1
72;0;0.000000;0.000000;0;0
73;1;0.000000;0.000000;1;1
74;0;0.000000;0.000000;0;0
75;0;0.000000;0.000000;0;0
76;1;0.000000;0.000000;1;1
77;1;0.000000;0.000000;1;1
78;1;0.000000;0.000000;1;1
79;1;0.000000;0.000000;1;1
80;1;0.000000;0.000000;1;1
81;0;0.000000;0.000000;0;0
82;0;0.000000;0.000000;0;0
83;1;0.000000;0.000000;1;1
84;1;0.000000;0.000000;1;1
85;1;0.000000;0.000000;1;1
86;1;0.000000;0.000000;1;1
87;0;0.000000;0.000000;0;0
88;0;0.000000;0.000000;0;0
89;0;0.000000;0.000000;0;0
90;0;0.000000;0.000000;0;0
91;0;0.000000;0.000000;0;0
92;0;0.000000;0.000000;0;0
93;1;0.000000;0.000000;1;1
94;0;0.000000;0.000000;0;0
95;1;0.000000;0.000000;1;1
96;1;0.000000;0.000000;1;1
97;1;0.000000;0.000000;1;1
98;1;0.000000;0.000000;1;1
99;0;0.000000;0.000000;0;0
100;0;0.000000;0.000000;0;0
101;1;0.000000;0.000000;1;1
102;1;0.000000;0.000000;1;1
103;1;0.000000;0.000000;1;1
104;1;0.000000;0.000000;1;1
105;1;0.000000;0.000000;1;1
106;1;0.000000;0.000000;1;1
107;1;0.000000;0.000000;1;1
108;1;0.000000;0.000000;1;1
109;0;0.000000;0.000000;0;0
110;0;0.000000;0.000000;0;0
111;0;0.000000;0.000000;0;0
112;1;0.000000;0.000000;1;1
113;1;0.000000;0.000000;1;1
114;1;0.000000;0.000000;1;1
115;0;0.000000;0.000000;0;0
116;0;0.000000;0.000000;0;0
117;1;0.000000;0.000000;1;1
118;0;0.000000;0.000000;0;0
119;1;0.000000;0.000000;1;1
120;1;0.000000;0.000000;1;1
121;1;0.000000;0.000000;1;1
122;0;0.000000;0.000000;0;0
123;1;0.000000;0.000000;1;1
124;0;0.000000;0.000000;0;0
125;0;0.000000;0.000000;0;0
126;0;0.000000;0.000000;0;0
127;1;0.000000;0.000000;1;1
128;0;0.000000;0.000000;0;0
129;0;0.000000;0.000000;0;0
130;1;0.000000;0.000000;1;1
131;0;0.000000;0.000000;0;0
132;0;0.000000;0.000000;0;0
133;0;0.000000;0.000000;0;0
134;0;0.000000;0.000000;0;0
135;1;0.000000;0.000000;1;1
136;0;0.000000;0.000000;0;0
137;0;0.000000;0.000000;0;0
138;1;0.000000;0.000000;1;1
139;0;0.000000;0.000000;0;0
140;0;0.000000;0.000000;0;0
141;0;0.000000;0.000000;0;0
142;0;0.000000;0.000000;0;0
143;0;0.000000;0.000000;0;0
144;1;0.000000;0.000000;1;1
145;1;0.000000;0.000000;1;1
146;0;0.000000;0.000000;0;0
147;1;0.000000;0.000000;1;1
148;1;0.000000;0.000000;1;1
149;0;0.000000;0.000000;0;0
150;0;0.000000;0.000000;0;0
151;1;0.000000;0.000000;1;1
152;0;0.000000;0.000000;0;0
153;0;0.000000;0.000000;0;0
154;1;0.000000;0.000000;1;1
155;0;0.000000;0.000000;0;0
156;0;0.000000;0.000000;0;0
157;1;0.000000;0.000000;1;1
158;0;0.000000;0.000000;0;0
159;1;0.000000;0.000000;1;1
160;1;0.000000;0.000000;1;1
161;1;0.000000;0.000000;1;1
162;0;0.000000;0.000000;0;0
163;0;0.000000;0.000000;0;0
164;1;0.000000;0.000000;1;1
165;0;0.000000;0.000000;0;0
166;1;0.000000;0.000000;1;1
167;0;0.000000;0.000000;0;0
168;1;0.000000;0.000000;1;1
169;0;0.000000;0.000000;0;0
170;0;0.000000;0.000000;0;0
171;1;0.000000;0.000000;1;1
172;0;0.000000;0.000000;0;0
173;1;0.000000;0.000000;1;1
174;0;0.000000;0.000000;0;0
175;1;0.000000;0.000000;1;1
176;0;0.000000;0.000000;0;0
177;0;0.000000;0.000000;0;0
178;1;0.000000;0.000000;1;1
179;1;0.000000;0.000000;1;1
180;0;0.000000;0.000000;0;0
181;1;0.000000;0.000000;1;1
182;1;0.000000;0.000000;1;1
183;0;0.000000;0.000000;0;0
184;0;0.000000;0.000000;0;0
185;1;0.000000;0.000000;1;1
186;0;0.000000;0.000000;0;0
187;1;0.000000;0.000000;1;1
188;0;0.000000;0.000000;0;0
189;1;0.000000;0.000000;1;1
190;1;0.000000;0.000000;1;1
191;1;0.000000;0.000000;1;1
192;0;0.000000;0.000000;0;0
193;1;0.000000;0.000000;1;1
194;0;0.000000;0.000000;0;0
195;0;0.000000;0.000000;0;0
196;0;0.000000;0.000000;0;0
197;1;0.000000;0.000000;1;1
198;0;0.000000;0.000000;0;0
199;0;0.000000;0.000000;0;0
200;0;0.000000;0.000000;0;0
201;1;0.000000;0.000000;1;1
202;0;0.000000;0.000000;0;0
203;0;0.000000;0.000000;0;0
204;1;0.000000;0.000000;1;1
205;0;0.000000;0.000000;0;0
206;1;0.000000;0.000000;1;1
207;1;0.000000;0.000000;1;1
208;0;0.000000;0.000000;0;0
209;1;0.000000;0.000000;1;1
210;1;0.000000;0.000000;1;1
211;0;0.000000;0.000000;0;0
212;0;0.000000;0.000000;0;0
213;1;0.000000;0.000000;1;1
214;1;0.000000;0.000000;1;1
215;1;0.000000;0.000000;1;1
216;1;0.000000;0.000000;1;1
217;1;0.000000;0.000000;1;1
218;0;0.000000;0.000000;0;0
219;0;0.000000;0.000000;0;0
220;1;0.000000;0.000000;1;1
221;0;0.000000;0.000000;0;0
