n;mono_iter_ms;mono_rec_ms;bs_iter_avg_ms;bs_rec_avg_ms;bs_iter_max_ms;bs_rec_max_ms
20000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
40000;0.000000;-1.000000;0.000000;0.000000;0.000000;0.000000
60000;0.000000;-1.000000;0.000500;0.000000;1.000000;0.000000
80000;0.000000;-1.000000;0.000500;0.000000;1.000000;0.000000
100000;0.000000;-1.000000;0.000000;0.000000;0.000000;0.000000
120000;0.000000;-1.000000;0.000000;0.000000;0.000000;0.000000
140000;0.000000;-1.000000;0.000500;0.000000;1.000000;0.000000
160000;0.000000;-1.000000;0.000500;0.000000;1.000000;0.000000
180000;0.000000;-1.000000;0.000000;0.000000;0.000000;0.000000
200000;0.000000;-1.000000;0.000000;0.000000;0.000000;0.000000
