trial;iter_ns;rec_ns;lines;empty_lines
0;79600;714700;3115;43
1;77500;685100;3115;43
2;90300;679800;3115;43
3;76500;677200;3115;43
4;76700;907100;3115;43
5;111400;1194800;3115;43
6;86200;680400;3115;43
7;75900;678600;3115;43
8;76100;689100;3115;43
9;84000;681400;3115;43
10;75800;691700;3115;43
11;75600;696700;3115;43
12;76500;699300;3115;43
13;75900;690500;3115;43
14;76100;692000;3115;43
15;75300;690400;3115;43
16;75600;686400;3115;43
17;75700;683800;3115;43
18;81800;679200;3115;43
19;75800;685400;3115;43
20;75900;686400;3115;43
21;75700;683800;3115;43
22;75200;688800;3115;43
23;75800;669400;3115;43
24;75200;673200;3115;43
25;75200;688700;3115;43
26;75200;684000;3115;43
27;75200;692500;3115;43
28;75500;691900;3115;43
29;76200;681100;3115;43
30;75600;683300;3115;43
31;74900;678700;3115;43
32;75400;683900;3115;43
33;75200;684900;3115;43
34;75600;685100;3115;43
35;75800;716000;3115;43
36;78100;679000;3115;43
37;77000;699100;3115;43
38;76800;685300;3115;43
39;76800;683600;3115;43
40;76400;732200;3115;43
41;87500;908100;3115;43
42;132100;1227300;3115;43
43;131700;1025800;3115;43
44;103800;945700;3115;43
45;106400;953100;3115;43
46;103100;934100;3115;43
47;103100;950600;3115;43
48;103100;929000;3115;43
49;103400;937500;3115;43
