trial;iter_ms;rec_ms;lines;empty_lines
0;1.000000;0.000000;3066;40
1;1.000000;0.000000;3066;40
2;0.000000;1.000000;3066;40
3;0.000000;0.000000;3066;40
4;1.000000;0.000000;3066;40
5;1.000000;0.000000;3066;40
6;0.000000;1.000000;3066;40
7;0.000000;0.000000;3066;40
8;1.000000;0.000000;3066;40
9;0.000000;0.000000;3066;40
10;0.000000;1.000000;3066;40
11;0.000000;0.000000;3066;40
12;1.000000;0.000000;3066;40
13;0.000000;1.000000;3066;40
14;0.000000;0.000000;3066;40
15;0.000000;0.000000;3066;40
16;1.000000;0.000000;3066;40
17;0.000000;1.000000;3066;40
18;0.000000;0.000000;3066;40
19;1.000000;0.000000;3066;40
