n,T1,Tp,p,W,C,S,E
1,0,0,1,0,0,1,1
2,1,1,2,1,2,1,0.5
3,2,2,3,3,6,1,0.3333333333
4,3,2,4,5,8,1.5,0.375
5,4,3,5,8,15,1.333333333,0.2666666667
6,5,3,6,11,18,1.666666667,0.2777777778
7,6,3,7,14,21,2,0.2857142857
8,7,3,8,17,24,2.333333333,0.2916666667
9,8,4,9,21,36,2,0.2222222222
10,9,4,10,25,40,2.25,0.225
11,10,4,11,29,44,2.5,0.2272727273
12,11,4,12,33,48,2.75,0.2291666667
13,12,4,13,37,52,3,0.2307692308
14,13,4,14,41,56,3.25,0.2321428571
15,14,4,15,45,60,3.5,0.2333333333
16,15,4,16,49,64,3.75,0.234375
